userId,utcMicrosecondsSinceEpoch,jointHeadX,jointHeadY,jointHeadZ,jointNeckX,jointNeckY,jointNeckZ,jointLeftShoulderX,jointLeftShoulderY,jointLeftShoulderZ,jointRightShoulderX,jointRightShoulderY,jointRightShoulderZ,jointLeftElbowX,jointLeftElbowY,jointLeftElbowZ,jointRightElbowX,jointRightElbowY,jointRightElbowZ,jointLeftHandX,jointLeftHandY,jointLeftHandZ,jointRightHandX,jointRightHandY,jointRightHandZ,jointTorsoX,jointTorsoY,jointTorsoZ,jointLeftHipX,jointLeftHipY,jointLeftHipZ,jointRightHipX,jointRightHipY,jointRightHipZ,jointLeftKneeX,jointLeftKneeY,jointLeftKneeZ,jointRightKneeX,jointRightKneeY,jointRightKneeZ,jointLeftFootX,jointLeftFootY,jointLeftFootZ,jointRightFootX,jointRightFootY,jointRightFootZ
1, 1638291702847872, -149.695, 483.107, 2019.59, -159.65, 329.23, 2042.52, -254.414, 345.81, 2115.39, -64.8866, 312.65, 1969.66, -445.758, 283.638, 2115.39, 84.0236, 299.04, 1795.16, -644.472, 252.165, 2115.39, 11.3476, 368.795, 1621, -178.223, 176.865, 2053.04, -252.553, 34.2565, 2106.43, -141.037, 14.7453, 2020.68, -242.567, -268.992, 2157.6, -141.037, -292.959, 2020.68, -232.965, -560.578, 2206.8, -141.037, -588.828, 2020.68
1, 1638291702871531, -149.793, 486.808, 2017.58, -161.641, 329.893, 2040.24, -254.681, 347.301, 2115.27, -68.6015, 312.484, 1965.21, -424.552, 239.498, 2115.27, 66.2178, 318.033, 1780.9, -616.849, 180.339, 2115.27, 7.37682, 372.94, 1602.1, -177.985, 177.243, 2055.39, -248.127, 34.6596, 2113.93, -140.53, 14.5271, 2027.16, -242.821, -270.156, 2155.65, -140.53, -293.177, 2027.16, -235.62, -562.535, 2200.39, -140.53, -589.046, 2027.16
1, 1638291702911653, -150.437, 488.361, 2016.84, -163.092, 328.737, 2039.56, -255.145, 346.606, 2115.89, -71.0386, 310.867, 1963.23, -400.064, 207.049, 2115.89, 69.23, 315.149, 1772.36, -583.3, 123.968, 2115.89, 12.1886, 369.412, 1594.64, -178.132, 176.788, 2057, -246.62, 35.2155, 2118.75, -139.724, 14.4648, 2030.11, -244.133, -270.624, 2152.48, -139.724, -293.239, 2030.11, -238.835, -563.648, 2193.07, -139.724, -589.109, 2030.11
1, 1638291702947517, -152.271, 489.186, 2015.85, -162.822, 328.228, 2038.34, -252.392, 346.054, 2116.35, -73.2531, 310.402, 1960.32, -373.09, 185.089, 2116.35, 67.1418, 315.09, 1771.59, -545.633, 81.6155, 2116.35, 11.0159, 368.082, 1591.59, -176.426, 176.372, 2057.42, -243.361, 35.1303, 2122.95, -136.699, 13.9024, 2030.05, -242.51, -271.373, 2150.09, -136.699, -293.802, 2030.05, -238.711, -564.927, 2186.84, -136.699, -589.671, 2030.05
1, 1638291702972410, -151.395, 490.065, 2015.97, -162.494, 328.299, 2037.39, -252.198, 346.796, 2115.28, -72.7895, 309.802, 1959.5, -351.242, 171.673, 2115.28, 66.4769, 314.383, 1769.36, -512.225, 50.9975, 2115.28, 8.43012, 366.519, 1587.82, -176.592, 176.174, 2057.28, -243.335, 34.9043, 2122.88, -138.044, 13.1933, 2031.46, -243.388, -272.029, 2144.65, -138.044, -294.511, 2031.46, -240.761, -566.015, 2177.87, -138.044, -590.38, 2031.46
1, 1638291703000162, -151.782, 489.516, 2014.36, -163.015, 326.537, 2036.84, -252.858, 345.202, 2115.02, -73.1714, 307.871, 1958.66, -333.382, 160.828, 2115.02, 66.759, 312.11, 1766.7, -482.495, 25.761, 2115.02, 6.92244, 364.539, 1583.63, -176.334, 175.164, 2057.67, -242.551, 34.7805, 2124.54, -136.756, 12.8011, 2032.48, -243.064, -272.429, 2141.97, -136.756, -294.903, 2032.48, -241.345, -566.768, 2171.97, -136.756, -590.772, 2032.48
1, 1638291703033429, -151.239, 489.752, 2014.29, -163.406, 327.681, 2036.28, -253.858, 346.534, 2113.98, -72.9536, 308.829, 1958.57, -318.942, 156.16, 2113.98, 67.01, 312.061, 1766.2, -456.274, 9.13052, 2113.98, 6.02032, 364.585, 1580.72, -176.751, 175.606, 2057.64, -243.065, 34.5707, 2124.5, -137.128, 12.4911, 2033.49, -243.777, -272.816, 2138.45, -137.128, -295.213, 2033.49, -242.754, -567.443, 2165.52, -137.128, -591.082, 2033.49
1, 1638291703066837, -152.465, 490.038, 2014.15, -162.887, 327.615, 2036.83, -252.838, 346.144, 2115.09, -72.9357, 309.086, 1958.58, -305.247, 151.899, 2115.09, 65.9543, 314.34, 1764.65, -431.156, -5.02408, 2115.09, 5.02306, 363.408, 1575.82, -175.854, 175.815, 2057.87, -242.103, 34.9899, 2125.26, -135.541, 13.0389, 2032.55, -242.866, -272.511, 2136.41, -135.541, -294.665, 2032.55, -242.372, -567.372, 2160.82, -135.541, -590.534, 2032.55
1, 1638291703100180, -151.929, 489.461, 2013.21, -162.927, 327.15, 2034.99, -252.649, 345.741, 2112.57, -73.2053, 308.56, 1957.4, -294.753, 149.004, 2112.57, 69.0228, 310.264, 1767.72, -409.771, -16.0676, 2112.57, 13.7302, 357.073, 1576.49, -175.619, 175.392, 2056.67, -241.67, 34.6898, 2124.5, -134.951, 12.5774, 2032.21, -242.404, -272.884, 2133.42, -134.951, -295.127, 2032.21, -242.306, -567.935, 2155.4, -134.951, -590.996, 2032.21
1, 1638291703145342, -151.58, 489.367, 2013.8, -162.917, 327.691, 2036.66, -254.928, 345.81, 2113.49, -70.905, 309.572, 1959.83, -288.701, 147.473, 2113.49, 72.6761, 307.428, 1769.31, -393.467, -24.2883, 2113.49, 18.7143, 353.496, 1576.96, -175.461, 175.859, 2057.45, -241.992, 34.6582, 2123.31, -134.021, 13.3967, 2033.15, -242.657, -272.963, 2130.43, -184.42, -271.455, 2138.02, -242.85, -568.168, 2150.24, -232.884, -545.35, 2238.87
1, 1638291703178546, -151.375, 490.509, 2013.14, -164.604, 329.291, 2037.42, -257.589, 347.711, 2113.71, -71.6195, 310.872, 1961.13, -284.654, 148.349, 2113.71, 74.9406, 304.155, 1774.12, -379.86, -28.8905, 2113.71, 6.0943, 353.939, 1588.33, -177.554, 176.913, 2058.43, -245.914, 35.511, 2124.9, -135.095, 13.5587, 2033.97, -246.497, -272.14, 2130.59, -147.998, -271.119, 2143.71, -246.898, -567.471, 2148.43, -220.53, -513.835, 2209.82
1, 1638291703204786, -152.28, 491.087, 2014.96, -165.469, 329.569, 2039.37, -258.483, 347.826, 2115.6, -72.456, 311.311, 1963.14, -280.158, 147.806, 2115.6, 74.8092, 300.858, 1776.8, -366.515, -33.9086, 2115.6, -1.20626, 352.741, 1595.6, -178.854, 177.521, 2059.45, -247.172, 36.2565, 2124.56, -137.304, 14.6904, 2034.52, -247.671, -271.413, 2129.12, -132.193, -269.532, 2147.74, -248.217, -566.846, 2145.17, -214.381, -500.135, 2188.21
